species	n_in_network	n_on_conserved	pct_MYB61	pct_background	fold	binom_p	max_abs_r_with_N	n_N_correlated	expected_degree_matched	fold_dm	p_degree_matched
purple	15	9	60	24.9	2.41	0.004072	0.643	0	3.41	2.64	0.0019
sugarcane	8	3	37.5	37.2	1.01	0.6235	0.247	0	2.92	1.03	0.6217
