Accession,Bioproject/GSA,Sample_Name,tissue,treatment,trait,genotype,soil_type,Organism
SRR31094564,PRJNA1176579,37_NR_10N_B0 _1,Leaf Base,Low Nitrogen,Nitrogen non resposive genotype,RB937570,Sand,Saccharum hybrid
SRR31094563,PRJNA1176579,38_NR_10N_B _1,Leaf Base,Low Nitrogen,Nitrogen non resposive genotype,RB937570,Sand,Saccharum hybrid
SRR31094562,PRJNA1176579,39_NR_10N_M _1,Leaf,Low Nitrogen,Nitrogen non resposive genotype,RB937570,Sand,Saccharum hybrid
SRR31094561,PRJNA1176579,40_NR_10N_P _1,Leaf Apex,Low Nitrogen,Nitrogen non resposive genotype,RB937570,Sand,Saccharum hybrid
SRR31094560,PRJNA1176579,5_R_270N_B0_2,Leaf Base,High Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
SRR31094559,PRJNA1176579,41_NR_10N_B0 _2,Leaf Base,Low Nitrogen,Nitrogen non resposive genotype,RB937570,Sand,Saccharum hybrid
SRR31094558,PRJNA1176579,42_NR_10N_B _2,Leaf Base,Low Nitrogen,Nitrogen non resposive genotype,RB937570,Sand,Saccharum hybrid
SAMC5708702,CRA028188,L_51N03_2N-1A,leaf,2N,Nitrogen resposive genotype,51NG3,sand-perlite mixture,S. robustum
SAMC5708703,CRA028188,L_51N03_2N-2A,leaf,2N,Nitrogen resposive genotype,51NG3,sand-perlite mixture,S. robustum
SAMC5708704,CRA028188,L_51N03_2N-3A,leaf,2N,Nitrogen resposive genotype,51NG3,sand-perlite mixture,S. robustum
SAMC5708705,CRA028188,L_51N03_6N-1A,leaf,6N,Nitrogen resposive genotype,51NG3,sand-perlite mixture,S. robustum
SAMC5708706,CRA028188,L_51N03_6N-2A,leaf,6N,Nitrogen resposive genotype,51NG3,sand-perlite mixture,S. robustum
SAMC5708707,CRA028188,L_51N03_6N-3A,leaf,6N,Nitrogen resposive genotype,51NG3,sand-perlite mixture,S. robustum
SAMC5708708,CRA028188,L_51N03_ON-1A,leaf,0N,Nitrogen resposive genotype,51NG3,sand-perlite mixture,S. robustum
SAMC5708709,CRA028188,L_51N03_ON-2A,leaf,0N,Nitrogen resposive genotype,51NG3,sand-perlite mixture,S. robustum
SAMC5708710,CRA028188,L_51N03_ON-3A,leaf,0N,Nitrogen resposive genotype,51NG3,sand-perlite mixture,S. robustum
SAMC5708711,CRA028188,L_TA0Z_2N-1A,leaf,2N,Nitrogen non resposive genotype,TAGZ,sand-perlite mixture,S. officinarum
SAMC5708712,CRA028188,L_TA0Z_2N-2A,leaf,2N,Nitrogen non resposive genotype,TAGZ,sand-perlite mixture,S. officinarum
SAMC5708713,CRA028188,L_TA0Z_2N-3A,leaf,2N,Nitrogen non resposive genotype,TAGZ,sand-perlite mixture,S. officinarum
SAMC5708714,CRA028188,L_TA0Z_6N-1A,leaf,6N,Nitrogen non resposive genotype,TAGZ,sand-perlite mixture,S. officinarum
SAMC5708715,CRA028188,L_TA0Z_6N-2A,leaf,6N,Nitrogen non resposive genotype,TAGZ,sand-perlite mixture,S. officinarum
SAMC5708716,CRA028188,L_TA0Z_6N-3A,leaf,6N,Nitrogen non resposive genotype,TAGZ,sand-perlite mixture,S. officinarum
SAMC5708717,CRA028188,L_TA0Z_ON-1A,leaf,0N,Nitrogen non resposive genotype,TAGZ,sand-perlite mixture,S. officinarum
SAMC5708718,CRA028188,L_TA0Z_ON-2A,leaf,0N,Nitrogen non resposive genotype,TAGZ,sand-perlite mixture,S. officinarum
SAMC5708719,CRA028188,L_TA0Z_ON-3A,leaf,0N,Nitrogen non resposive genotype,TAGZ,sand-perlite mixture,S. officinarum
SAMC5708720,CRA028188,R_51N03_2N-1A,root,2N,Nitrogen resposive genotype,51NG3,sand-perlite mixture,S. robustum
