sample,fastq_1,fastq_2,strandedness,seq_platform,Accession,Bioproject.GSA,tissue,treatment,trait,genotype,soil_type,Organism
17_R_10N_B0_2,raw_sugarcane/fastq/SRX26477627_SRR31094544_1.fastq.gz,raw_sugarcane/fastq/SRX26477627_SRR31094544_2.fastq.gz,auto,ILLUMINA,SRR31094544,PRJNA1176579,Leaf Base,Low Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
15_R_10N_M_1,raw_sugarcane/fastq/SRX26477625_SRR31094545_1.fastq.gz,raw_sugarcane/fastq/SRX26477625_SRR31094545_2.fastq.gz,auto,ILLUMINA,SRR31094545,PRJNA1176579,Leaf,Low Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
14_R_10N_B_1,raw_sugarcane/fastq/SRX26477624_SRR31094546_1.fastq.gz,raw_sugarcane/fastq/SRX26477624_SRR31094546_2.fastq.gz,auto,ILLUMINA,SRR31094546,PRJNA1176579,Leaf Base,Low Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
13_R_10N_B0_1,raw_sugarcane/fastq/SRX26477623_SRR31094547_1.fastq.gz,raw_sugarcane/fastq/SRX26477623_SRR31094547_2.fastq.gz,auto,ILLUMINA,SRR31094547,PRJNA1176579,Leaf Base,Low Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
16_R_10N_P_1,raw_sugarcane/fastq/SRX26477626_SRR31094548_1.fastq.gz,raw_sugarcane/fastq/SRX26477626_SRR31094548_2.fastq.gz,auto,ILLUMINA,SRR31094548,PRJNA1176579,Leaf Apex,Low Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
12_R_270N_P_3,raw_sugarcane/fastq/SRX26477622_SRR31094549_1.fastq.gz,raw_sugarcane/fastq/SRX26477622_SRR31094549_2.fastq.gz,auto,ILLUMINA,SRR31094549,PRJNA1176579,Leaf Apex,High Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
6_R_270N_B_2,raw_sugarcane/fastq/SRX26477621_SRR31094550_1.fastq.gz,raw_sugarcane/fastq/SRX26477621_SRR31094550_2.fastq.gz,auto,ILLUMINA,SRR31094550,PRJNA1176579,Leaf Base,High Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
11_R_270N_M_3,raw_sugarcane/fastq/SRX26477601_SRR31094551_1.fastq.gz,raw_sugarcane/fastq/SRX26477601_SRR31094551_2.fastq.gz,auto,ILLUMINA,SRR31094551,PRJNA1176579,Leaf,High Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
48_NR_10N_P_3,raw_sugarcane/fastq/SRX26477620_SRR31094552_1.fastq.gz,raw_sugarcane/fastq/SRX26477620_SRR31094552_2.fastq.gz,auto,ILLUMINA,SRR31094552,PRJNA1176579,Leaf Apex,Low Nitrogen,Nitrogen non resposive genotype,RB937570,Sand,Saccharum hybrid
47_NR_10N_M_3,raw_sugarcane/fastq/SRX26477619_SRR31094553_1.fastq.gz,raw_sugarcane/fastq/SRX26477619_SRR31094553_2.fastq.gz,auto,ILLUMINA,SRR31094553,PRJNA1176579,Leaf,Low Nitrogen,Nitrogen non resposive genotype,RB937570,Sand,Saccharum hybrid
46_NR_10N_B_3,raw_sugarcane/fastq/SRX26477618_SRR31094554_1.fastq.gz,raw_sugarcane/fastq/SRX26477618_SRR31094554_2.fastq.gz,auto,ILLUMINA,SRR31094554,PRJNA1176579,Leaf Base,Low Nitrogen,Nitrogen non resposive genotype,RB937570,Sand,Saccharum hybrid
45_NR_10N_B0_3,raw_sugarcane/fastq/SRX26477617_SRR31094555_1.fastq.gz,raw_sugarcane/fastq/SRX26477617_SRR31094555_2.fastq.gz,auto,ILLUMINA,SRR31094555,PRJNA1176579,Leaf Base,Low Nitrogen,Nitrogen non resposive genotype,RB937570,Sand,Saccharum hybrid
44_NR_10N_P_2,raw_sugarcane/fastq/SRX26477616_SRR31094556_1.fastq.gz,raw_sugarcane/fastq/SRX26477616_SRR31094556_2.fastq.gz,auto,ILLUMINA,SRR31094556,PRJNA1176579,Leaf Apex,Low Nitrogen,Nitrogen non resposive genotype,RB937570,Sand,Saccharum hybrid
43_NR_10N_M_2,raw_sugarcane/fastq/SRX26477615_SRR31094557_1.fastq.gz,raw_sugarcane/fastq/SRX26477615_SRR31094557_2.fastq.gz,auto,ILLUMINA,SRR31094557,PRJNA1176579,Leaf,Low Nitrogen,Nitrogen non resposive genotype,RB937570,Sand,Saccharum hybrid
42_NR_10N_B_2,raw_sugarcane/fastq/SRX26477614_SRR31094558_1.fastq.gz,raw_sugarcane/fastq/SRX26477614_SRR31094558_2.fastq.gz,auto,ILLUMINA,SRR31094558,PRJNA1176579,Leaf Base,Low Nitrogen,Nitrogen non resposive genotype,RB937570,Sand,Saccharum hybrid
41_NR_10N_B0_2,raw_sugarcane/fastq/SRX26477613_SRR31094559_1.fastq.gz,raw_sugarcane/fastq/SRX26477613_SRR31094559_2.fastq.gz,auto,ILLUMINA,SRR31094559,PRJNA1176579,Leaf Base,Low Nitrogen,Nitrogen non resposive genotype,RB937570,Sand,Saccharum hybrid
5_R_270N_B0_2,raw_sugarcane/fastq/SRX26477612_SRR31094560_1.fastq.gz,raw_sugarcane/fastq/SRX26477612_SRR31094560_2.fastq.gz,auto,ILLUMINA,SRR31094560,PRJNA1176579,Leaf Base,High Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
40_NR_10N_P_1,raw_sugarcane/fastq/SRX26477611_SRR31094561_1.fastq.gz,raw_sugarcane/fastq/SRX26477611_SRR31094561_2.fastq.gz,auto,ILLUMINA,SRR31094561,PRJNA1176579,Leaf Apex,Low Nitrogen,Nitrogen non resposive genotype,RB937570,Sand,Saccharum hybrid
39_NR_10N_M_1,raw_sugarcane/fastq/SRX26477610_SRR31094562_1.fastq.gz,raw_sugarcane/fastq/SRX26477610_SRR31094562_2.fastq.gz,auto,ILLUMINA,SRR31094562,PRJNA1176579,Leaf,Low Nitrogen,Nitrogen non resposive genotype,RB937570,Sand,Saccharum hybrid
38_NR_10N_B_1,raw_sugarcane/fastq/SRX26477609_SRR31094563_1.fastq.gz,raw_sugarcane/fastq/SRX26477609_SRR31094563_2.fastq.gz,auto,ILLUMINA,SRR31094563,PRJNA1176579,Leaf Base,Low Nitrogen,Nitrogen non resposive genotype,RB937570,Sand,Saccharum hybrid
37_NR_10N_B0_1,raw_sugarcane/fastq/SRX26477608_SRR31094564_1.fastq.gz,raw_sugarcane/fastq/SRX26477608_SRR31094564_2.fastq.gz,auto,ILLUMINA,SRR31094564,PRJNA1176579,Leaf Base,Low Nitrogen,Nitrogen non resposive genotype,RB937570,Sand,Saccharum hybrid
36_NR_270N_P_3,raw_sugarcane/fastq/SRX26477607_SRR31094565_1.fastq.gz,raw_sugarcane/fastq/SRX26477607_SRR31094565_2.fastq.gz,auto,ILLUMINA,SRR31094565,PRJNA1176579,Leaf Apex,High Nitrogen,Nitrogen non resposive genotype,RB937570,Sand,Saccharum hybrid
35_NR_270N_M_3,raw_sugarcane/fastq/SRX26477606_SRR31094566_1.fastq.gz,raw_sugarcane/fastq/SRX26477606_SRR31094566_2.fastq.gz,auto,ILLUMINA,SRR31094566,PRJNA1176579,Leaf,High Nitrogen,Nitrogen non resposive genotype,RB937570,Sand,Saccharum hybrid
34_NR_270N_B_3,raw_sugarcane/fastq/SRX26477605_SRR31094567_1.fastq.gz,raw_sugarcane/fastq/SRX26477605_SRR31094567_2.fastq.gz,auto,ILLUMINA,SRR31094567,PRJNA1176579,Leaf Base,High Nitrogen,Nitrogen non resposive genotype,RB937570,Sand,Saccharum hybrid
33_NR_270N_B0_3,raw_sugarcane/fastq/SRX26477604_SRR31094568_1.fastq.gz,raw_sugarcane/fastq/SRX26477604_SRR31094568_2.fastq.gz,auto,ILLUMINA,SRR31094568,PRJNA1176579,Leaf Base,High Nitrogen,Nitrogen non resposive genotype,RB937570,Sand,Saccharum hybrid
32_NR_270N_P_2,raw_sugarcane/fastq/SRX26477603_SRR31094569_1.fastq.gz,raw_sugarcane/fastq/SRX26477603_SRR31094569_2.fastq.gz,auto,ILLUMINA,SRR31094569,PRJNA1176579,Leaf Apex,High Nitrogen,Nitrogen non resposive genotype,RB937570,Sand,Saccharum hybrid
31_NR_270N_M_2,raw_sugarcane/fastq/SRX26477602_SRR31094570_1.fastq.gz,raw_sugarcane/fastq/SRX26477602_SRR31094570_2.fastq.gz,auto,ILLUMINA,SRR31094570,PRJNA1176579,Leaf,High Nitrogen,Nitrogen non resposive genotype,RB937570,Sand,Saccharum hybrid
2_R_270N_B_1,raw_sugarcane/fastq/SRX26477600_SRR31094571_1.fastq.gz,raw_sugarcane/fastq/SRX26477600_SRR31094571_2.fastq.gz,auto,ILLUMINA,SRR31094571,PRJNA1176579,Leaf Base,High Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
1_R_270N_B0_1,raw_sugarcane/fastq/SRX26477599_SRR31094572_1.fastq.gz,raw_sugarcane/fastq/SRX26477599_SRR31094572_2.fastq.gz,auto,ILLUMINA,SRR31094572,PRJNA1176579,Leaf Base,High Nitrogen,Nitrogen resposive genotype,RB975375,Sand,Saccharum hybrid
