gene	pct_genotype	pct_nitrogen	species
Soffic.03F0031590-3F	97.5191634726531	0.166500631852008	purple
Soffic.03G0029470-3G	84.6462744144492	1.58578845423039	purple
Soffic.03G0029950-3C	11.1498697489415	1.84173523745703	purple
Soffic.03G0030830-3A	90.5092202525701	1.7063501091194	purple
Soffic.03G0030930-3H	95.2378735205202	0.573235940285897	purple
Soffic.03G0031200-3D	31.6886668159206	9.18382814642591	purple
Soffic.03G0031630-3F	13.854228008575	11.217503766931	purple
Soffic.03G0031750-3E	97.6609774288321	0.812041514366132	purple
Soffic.05G0021340-5A	5.88235294117647	11.764705882353	purple
Soffic.05G0022030-5F			purple
Soffic.09C0016350-9C	37.8513029746001	12.4304846630507	purple
Soffic.09G0001580-9H	4.87208866213814	46.1550630136643	purple
Soffic.09G0014920-9G	45.6043361616507	0.719977000410196	purple
Soffic.09G0014970-9E	27.8245556957004	5.47153354199078	purple
Soffic.09G0016060-9B	50.5445371715118	1.04036648612952	purple
Soffic.10E0001590-10E	86.6416578432854	0.683074591098978	purple
Soffic.10F0000950-10F	44.8193136121315	2.09462556238745	purple
Soffic.10G0001570-10E			purple
Soffic.10G0001580-10B	0.233204610463005	4.79271922967542	purple
Soffic.10G0001590-10A	4.65157069398338	18.3327364408715	purple
Soffic.10G0001790-10A	40.4233955305755	0.379543973308985	purple
Soffic.10G0001830-10B	4.13412012331839	15.403275508503	purple
Soffic.10G0001910-10D	3.26487984799989	9.7796181407664	purple
Soffic.10G0002440-10H	43.1351248884995	15.4945998012114	purple
Soffic.10G0002510-10C	87.9032949405685	1.96030457560758	purple
Soffic.10G0002520-10C	0.0159880040833208	24.9640269908125	purple
Soffic.10G0002620-10H	89.8655759564181	0.076111795505382	purple
