species	gene	genotype	mean_tpm	log2FC_HighminusLow	p	interaction_p	interaction_p_segment_adj	padj	locus	family	our_family	in_network	deg_pct
sugarcane	SoffiXsponR570.04Bg019100	RB937570 (non-responsive)	3.09176529166667	-0.24941560071155	0.249464713591642	0.875233015326314	0.849955406912343	0.304901316612007	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	50.1195843952166
sugarcane	SoffiXsponR570.04Cg017200	RB975375 (responsive)	4.91733441666667	-2.58757025289701	6.05657552257789e-11	0.00398028224565519	0.00449999234111029	9.69052083612463e-10	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	63.3728680650853
sugarcane	SoffiXsponR570.04Cg017200	RB937570 (non-responsive)	11.36322275	-3.5190567131007	2.01690157327639e-13	0.00398028224565519	0.00449999234111029	6.6557751918121e-12	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	63.3728680650853
sugarcane	SoffiXsponR570.04Cg018800	RB975375 (responsive)	0.21176525	-0.204564057009067	0.0222617029629894	0.889630165634019	0.879348021872957	0.033922594991222	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	82.6519309939228
sugarcane	SoffiXsponR570.04Cg018800	RB937570 (non-responsive)	0.807192291666667	-0.182578335590927	0.189262303490943	0.889630165634019	0.879348021872957	0.244098642349734	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	82.6519309939228
sugarcane	SoffiXsponR570.04Dg020500	RB975375 (responsive)	23.877649375	-3.72609095237905	1.84013523475876e-11	0.69841464948058	0.698250835455031	5.88843275122804e-10	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	71.5800823367967
sugarcane	SoffiXsponR570.04Dg020500	RB937570 (non-responsive)	23.0627595833333	-3.88231580107628	3.6174799857919e-12	0.69841464948058	0.698250835455031	5.96884197655663e-11	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	71.5800823367967
sugarcane	SoffiXsponR570.04Dg022200	RB975375 (responsive)	3.55777975	-0.63262038460468	0.0143955356222539	0.130864165154551	0.0811868637679563	0.0230328569956063	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	11.5256812389728
sugarcane	SoffiXsponR570.04Dg022200	RB937570 (non-responsive)	3.71087795833333	-0.147208048679088	0.484678924455507	0.130864165154551	0.0811868637679563	0.551531189897646	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	11.5256812389728
sugarcane	SoffiXsponR570.04Gg017300	RB975375 (responsive)	38.6277475833333	-3.91835825965256	4.28257188391649e-10	0.890288804860637	0.890842765646649	3.42605750713319e-09	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	72.7989609880416
sugarcane	SoffiXsponR570.04Gg017300	RB937570 (non-responsive)	21.827588875	-3.9829345430373	2.36609904064892e-10	0.890288804860637	0.890842765646649	1.3013544723569e-09	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	72.7989609880416
sugarcane	SoffiXsponR570.04Gg018900	RB975375 (responsive)	2.42092020833333	-0.0401652432698161	0.875171974006534	0.883124396260263	0.864455178597876	0.875171974006534	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	46.8550284257989
sugarcane	SoffiXsponR570.04Gg018900	RB937570 (non-responsive)	2.26809579166667	0.00643170295251427	0.973128852132193	0.883124396260263	0.864455178597876	0.973128852132193	N_R___TRINITY_DN8473_c0_g3	no_tf	not_a_TF	TRUE	46.8550284257989
sugarcane	SoffiXsponR570.06Ag012100	RB975375 (responsive)	248.778769958333	-3.0087578237622	2.40802278715621e-09	0.329627297300651	0.31600089710705	1.1008104169857e-08	SCA2_2__c76820f1p01331	MYB	MYB;MYB-related	TRUE	64.7235836110567
sugarcane	SoffiXsponR570.06Ag012100	RB937570 (non-responsive)	517.406026791667	-2.66323574860165	2.34692180646048e-10	0.329627297300651	0.31600089710705	1.3013544723569e-09	SCA2_2__c76820f1p01331	MYB	MYB;MYB-related	TRUE	64.7235836110567
sugarcane	SoffiXsponR570.06Ag012300	RB975375 (responsive)	24.57166	-1.83050948416843	8.47674868317391e-09	0.606395555874422	0.541934052394929	2.71255957861565e-08	SCA2_2__c76820f1p01331	MYB	MYB;MYB-related	TRUE	84.7407371103705
sugarcane	SoffiXsponR570.06Ag012300	RB937570 (non-responsive)	115.094106916667	-2.01532305344917	1.01733247469651e-06	0.606395555874422	0.541934052394929	2.79766430541541e-06	SCA2_2__c76820f1p01331	MYB	MYB;MYB-related	TRUE	84.7407371103705
sugarcane	SoffiXsponR570.06Ag137400	RB975375 (responsive)	11.527504625	-0.935738251629288	0.00156489937096717	0.279017164454241	0.246679249695378	0.00294569293358525	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	TRUE	93.8546363458145
sugarcane	SoffiXsponR570.06Ag137400	RB937570 (non-responsive)	1.49686579166667	-0.595276564617724	0.00582783156609062	0.279017164454241	0.246679249695378	0.0120199026050619	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	TRUE	93.8546363458145
sugarcane	SoffiXsponR570.06Cg113900	RB975375 (responsive)	0.266311666666667	-0.195759560711938	0.119860837549964	0.616752195979793	0.598697497983042	0.147521030830726	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	FALSE	
sugarcane	SoffiXsponR570.06Cg113900	RB937570 (non-responsive)	0.0578609166666667	-0.133454786590928	0.00019793778495642	0.616752195979793	0.598697497983042	0.000466567635968705	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	FALSE	
sugarcane	SoffiXsponR570.06Dg086900	RB975375 (responsive)	4.91926345833333	-1.1471442451718	0.000447174448320242	0.00284985296328389	0.00228069611547994	0.000953972156416515	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	TRUE	69.2810233287591
sugarcane	SoffiXsponR570.06Dg086900	RB937570 (non-responsive)	0.617118375	0.0997065055290254	0.740057586963787	0.00284985296328389	0.00228069611547994	0.763184386556405	SCA3__SP803280_c111248_g1	MYB_related	not_a_TF	TRUE	69.2810233287591
sugarcane	SoffiXsponR570.06Eg019700	RB975375 (responsive)	171.985378583333	-3.11738784076827	5.60492529618306e-09	0.2753050648599	0.272406953559818	2.24197011847322e-08	SCA2_2__c76820f1p01331	MYB	MYB;MYB-related	TRUE	66.5580278376789
